"","block_num","id","race","sex","age","juv_fel_count","juv_misd_count","priors_count","charge_id","charge_degree","compas_decile_score","two_year_recid","c_charge_desc","mturk_charge_name.x","mturk_charge_name.y","full_charge_description"
"1",1,8307,2,1,53,0,0,5,413,1,6,0,"Unlicensed Telemarketing","Unlicensed Telemarketing","Unlicensed Telemarketing","When an unlicensed commercial telemarketing company or unlicensed salesperson solicits a purchaser for the purpose of attempting to sell consumer goods or services"
"2",1,10406,2,0,43,0,0,2,306,1,7,0,"Possession of Cocaine","Possession of Cocaine",NA,NA
"3",1,8267,2,0,46,0,0,3,371,1,3,1,"Stalking (Aggravated)","Stalking",NA,NA
"4",1,5593,1,0,37,0,0,4,21,0,4,1,"Aggravated Battery / Pregnant","Assault",NA,NA
"5",1,61,2,1,51,0,0,7,306,1,2,0,"Possession of Cocaine","Possession of Cocaine",NA,NA
"6",1,5438,2,0,20,0,0,1,186,1,10,1,"Grand Theft (Motor Vehicle)","Grand Theft","Grand Theft","The unlawful taking of property worth more than $300"
"7",1,5557,2,0,51,0,0,0,423,0,4,1,"Viol Injunct Domestic Violence","Domestic Violence","Domestic Violence","The touching or striking of a family member, household member, or domestic partner against their will"
"8",1,9924,1,0,29,0,0,0,15,1,3,1,"Aggravated Assault W/Dead Weap","Assault with a Deadly Weapon","Assault with a Deadly Weapon","An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent"
"9",1,4767,1,0,39,0,0,3,306,1,2,0,"Possession of Cocaine","Possession of Cocaine",NA,NA
"10",1,1733,1,1,52,0,0,6,381,0,7,0,"Theft/To Deprive","Theft",NA,NA
"11",1,4766,1,0,26,0,0,2,190,1,9,1,"Grand Theft in the 3rd Degree","Grand Theft",NA,NA
"12",1,5647,2,1,42,0,0,0,133,0,1,1,"DUI Level 0.15 Or Minor In Veh","Driving Under the Influence",NA,NA
"13",1,8827,3,0,26,0,0,5,129,1,3,0,"Driving While License Revoked","Driving with a Revoked License","Driving with a Revoked License","Driving with a license that has been revoked"
"14",1,2719,2,0,23,0,0,1,167,1,4,1,"Felony Batt(Great Bodily Harm)","Battery",NA,NA
"15",1,1443,2,0,45,0,0,0,318,1,5,1,"Possession of Morphine","Possession of Morphine","Possession of Morphine","Possession of Morphine"
"16",1,7652,2,0,25,0,0,8,172,1,8,1,"Felony Driving While Lic Suspd","Driving with a Suspended License",NA,NA
"17",1,3732,2,0,26,0,0,1,93,0,1,0,"Criminal Mischief Damage <$200","Criminal Damage of less than $1000",NA,NA
"18",1,1024,2,0,27,0,0,0,306,0,2,0,"Possession of Cocaine","Possession of Cocaine",NA,NA
"19",1,10307,2,0,31,2,0,6,169,1,6,0,"Felony Battery (Dom Strang)","Battery",NA,NA
"20",1,8613,1,0,33,0,0,2,133,0,2,0,"DUI Level 0.15 Or Minor In Veh","Driving Under the Influence",NA,NA
"21",1,6064,1,1,31,0,0,0,45,0,2,0,"Battery","Battery",NA,NA
"22",1,10452,2,1,44,0,0,0,379,1,1,0,"Tampering With Physical Evidence","Tampering With Physical Evidence",NA,NA
"23",1,8141,1,0,21,0,0,0,400,1,4,0,"Trespassing/Construction Site","Trespassing",NA,NA
"24",1,3398,2,0,21,1,2,3,92,1,10,1,"Criminal Mischief","Criminal Damage of less than $1000",NA,NA
"25",1,8104,2,1,42,0,0,16,336,1,6,0,"Resist Officer w/Violence","Resisting an Officer with Violence","Resisting an Officer with Violence","When a person knowingly and willfully resists, obstructs, or opposes a law enforcement officer by threatening violence or engaging in violent conduct against the law enforcement officer was engaged in the lawful execution of a legal duty"
"26",1,9644,2,0,22,0,0,0,283,0,6,0,"Possess Cannabis/20 Grams Or Less","Possession of Cannabis/Marijuana",NA,NA
"27",1,3635,2,1,24,0,0,2,89,1,4,0,"Crim Use of Personal ID Info","Forgery",NA,NA
"28",1,1642,1,0,29,0,0,1,45,0,6,0,"Battery","Battery",NA,NA
"29",1,9295,3,0,30,0,0,2,313,1,2,0,"Possession of Hydromorphone","Possession of a Controlled Substance",NA,NA
"30",1,4105,1,0,33,0,0,7,229,1,9,1,"Neglect Child / No Bodily Harm","Child Neglect",NA,NA
"31",1,8517,2,0,23,0,0,0,45,0,3,1,"Battery","Battery",NA,NA
"32",1,4841,1,0,55,0,0,0,45,0,1,0,"Battery","Battery",NA,NA
"33",1,10011,2,0,45,0,0,4,127,0,3,1,"Driving License Suspended","Driving with a Suspended License",NA,NA
"34",1,1441,2,0,30,0,0,1,45,0,5,1,"Battery","Battery",NA,NA
"35",1,2182,2,1,26,0,0,1,190,1,6,1,"Grand Theft in the 3rd Degree","Grand Theft",NA,NA
"36",1,9435,1,0,24,0,0,3,306,1,5,0,"Possession of Cocaine","Possession of Cocaine",NA,NA
"37",1,1741,2,0,24,0,0,5,418,1,6,1,"Uttering a Forged Instrument","Forgery",NA,NA
"38",1,7324,1,0,30,0,0,0,169,1,1,0,"Felony Battery (Dom Strang)","Battery",NA,NA
"39",1,2910,1,0,42,0,0,0,128,0,4,0,"Driving Under The Influence","Driving Under the Influence",NA,NA
